date,Q,DHIAv,DHIMax,DNIAv,DNIMax,GHIAv,GHIMax,CDHIAv,CDHIMax,CDNIAv,CDNIMax,CGHIAv,CGHIMax,DPMin,DPAv,DPMax,WSMin,WSAv,WSMax,RainMin,RainAv,RainMax,RHMin,RHAv,RHMax,TMin,TAv,TMax,PMin,PAv,PMax,Weekday,Weekend,Festive
01/01/2013,10782.8398,60.04166667,232,9.083333333,145,64.625,271,37.04166667,118,291.4583333,846,179.2916667,676,1,6.375,11,0.5,2.141666667,5.1,2.598,2.948958333,3.523,49.53,74.57541667,100,10,14.5,18,950,952.0833333,960,1,0,1
02/01/2013,8289.3878,42.875,165,0.041666667,1,42.91666667,166,41.125,129,274.5833333,818,176.8333333,669,3,4.708333333,6,0.5,1.8125,2.6,2.474,2.865583333,3.091,79.59,93.39541667,100,8,9.291666667,12,950,955.4166667,960,1,0,0
03/01/2013,9153.6818,46,192,125.375,792,106.8333333,666,49.125,156,263.2916667,798,180.75,685,0,2.208333333,4,1.2,2.254166667,3.5,1.585,1.943291667,2.394,70.95,90.04916667,100,5,7.166666667,10,960,960,960,1,0,0
04/01/2013,8894.7788,44.375,166,145.7916667,823,110.5833333,669,44.625,135,271.7916667,830,180.9166667,685,1,2.958333333,5,0.3,1.6875,3.5,2.009,2.135,2.365,62.06,89.70416667,100,5,8.125,15,960,960,960,1,0,0
05/01/2013,9691.8726,64.875,291,180.7916667,896,153.5,684,36.375,117,300.7916667,901,185.0833333,699,4,5.416666667,7,0.5,1.641666667,3.7,2.008,2.200541667,2.442,48.8,83.21208333,100,7,11.79166667,21,960,960,960,0,1,0
06/01/2013,10773.0212,34.66666667,104,317.9166667,924,191.25,717,34.66666667,104,317.9166667,924,191.25,717,-1,1.708333333,6,0.4,1.8375,3.7,1.173,1.558666667,2.221,31.11,67.11083333,100,7,11.70833333,20,960,960,960,0,1,0
07/01/2013,9206.5793,77.58333333,321,111.75,508,139.125,577,34.125,101,318.4583333,928,191.7083333,720,-1,2.416666667,8,0.5,2.175,4.6,1.2,1.700541667,2.695,39.11,66.39875,100,6,12.125,20,950,954.1666667,960,1,0,0
08/01/2013,10022.1028,64.125,329,21.29166667,250,74.5,412,32.95833333,96,306.1666667,895,184.875,695,8,9.75,12,0.5,1.329166667,3,2.487,2.829833333,3.183,51.97,86.40333333,100,11,15.83333333,24,940,946.6666667,950,1,0,0
09/01/2013,10129.6977,28.20833333,81,342.4583333,987,198.4583333,743,27.75,81,350.4166667,987,199.5833333,743,-3,3,9,0.7,1.4625,2.6,0.883,1.385,2.36,19.08,64.14708333,100,9,14.91666667,24,950,950,950,1,0,0
10/01/2013,10270.8666,25.95833333,77,361.9583333,1002,203.0416667,751,25.95833333,77,361.9583333,1002,203.0416667,751,-1,1.083333333,4,1.1,1.595833333,3.4,0.682,0.8465,1.129,19.72,53.36583333,82.61,7,15.125,26,950,950,950,1,0,0
11/01/2013,10749.6267,75.125,309,135.1666667,576,144.0416667,613,26.79166667,79,356.75,995,202.4583333,750,1,3.958333333,8,0.6,1.475,2.7,0.804,1.089875,1.725,18,49.77458333,73.68,11,19.54166667,31,950,950,950,1,0,0
12/01/2013,11585.4124,81.33333333,311,96.875,481,132.125,582,27.125,79,334.375,942,192.875,715,6,7.458333333,11,0.4,1.620833333,2.8,1.621,2.252291667,2.677,24.69,53.13375,67.61,16,21.54166667,32,940,946.25,950,0,1,0
13/01/2013,10019.4758,80.45833333,337,35.875,245,100.1666667,458,29.54166667,89,337.9166667,949,197.8333333,733,-2,0.458333333,6,0.9,3.1375,5.3,1.549,1.77925,2.284,31.91,52.22375,68.02,9,13.20833333,19,950,950,950,0,1,0
14/01/2013,10255.7389,57.66666667,289,199.6666667,917,162.4166667,709,31.20833333,95,326.4166667,928,194.875,723,0,1,2,0.8,2.108333333,4.3,2.149,2.323791667,2.53,34.18,60.56083333,81.2,7,12.20833333,21,950,950,950,1,0,0
15/01/2013,9645.5468,77.125,303,127.7083333,563,141.2083333,598,30.375,90,338.5,950,200.3333333,739,-2,0.583333333,2,1,2.229166667,4,1.25,1.667333333,2.29,35.87,65.52958333,84.53,4,10.08333333,17,950,951.6666667,960,1,0,0
